0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:10:07 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:10:07 +0530] "GET /Cleansheet/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:10:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:35 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:35 +0530] "GET /Cleansheet/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:35 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:35 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:35 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:37 +0530] "GET /Cleansheet/Logout HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:37 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:39 +0530] "GET /Cleansheet/Logout HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:39 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:43 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:44 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:14:58 +0530] "GET /Cleansheet/ HTTP/1.1" 200 856
